address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
314 Bay Pointe Ln,Columbia,MO,65201,162500,1368.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/314-Bay-Pointe-Ln-Columbia-MO-65201/70890912_zpid/
1403 Berwick Ct,Columbia,MO,65203,260000,2485.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1403-Berwick-Ct-Columbia-MO-65203/58710115_zpid/
103 Haywood Ct,Columbia,MO,65203,330000,3000.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/103-Haywood-Ct-Columbia-MO-65203/58701810_zpid/
1822 N Lake Of The Woods Rd,Columbia,MO,65202,139900,1056.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1822-N-Lake-Of-The-Woods-Rd-Columbia-MO-65202/58716644_zpid/
1508 Lambeth Dr # 1,Columbia,MO,65202,150000,2629.0,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1508-Lambeth-Dr-1-Columbia-MO-65202/2096752787_zpid/
3804 Mamba Dr,Columbia,MO,65202,238500,2803.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3804-Mamba-Dr-Columbia-MO-65202/60057133_zpid/
1616 1618 N Telluride Ln,Columbia,MO,65201,180000,NA,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1616-1618-N-Telluride-Ln-Columbia-MO-65201/2092085730_zpid/
3110 Timber Run Dr,Columbia,MO,65203,262500,1800.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3110-Timber-Run-Dr-Columbia-MO-65203/2092057603_zpid/
L 217 Nursery Hts,Columbia,MO,65203,312900,1610.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/L-217-Nursery-Hts-Columbia-MO-65203/2092068749_zpid/
Roscoe Rdg LOT 618,Columbia,MO,65203,399900,3047.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/Roscoe-Rdg-LOT-618-Columbia-MO-65203/2092090367_zpid/
Roscoe Rdg LOT 619,Columbia,MO,65203,399900,3047.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/Roscoe-Rdg-LOT-619-Columbia-MO-65203/2092090366_zpid/
Bandon Dunes Ct LOT 125,Columbia,MO,65201,384900,2989.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/Bandon-Dunes-Ct-LOT-125-Columbia-MO-65201/2092090365_zpid/
4201 Clark Ln LOT 94,Columbia,MO,65202,7000,NA,2.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4201-Clark-Ln-LOT-94-Columbia-MO-65202/2092323148_zpid/
2410 Thornberry Dr,Columbia,MO,65202,101000,1510.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2410-Thornberry-Dr-Columbia-MO-65202/67322980_zpid/
1621 Ashland Rd,Columbia,MO,65201,1100000,1100.0,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1621-Ashland-Rd-Columbia-MO-65201/2097405483_zpid/
5533 N Rocky Fork Dr,Columbia,MO,65202,101000,1034.0,3.0,2.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/5533-N-Rocky-Fork-Dr-Columbia-MO-65202/82752792_zpid/
5308 Sandstone Dr,Columbia,MO,65202,172500,1834.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5308-Sandstone-Dr-Columbia-MO-65202/70886148_zpid/
112 W Forest Ave,Columbia,MO,65203,65000,NA,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-W-Forest-Ave-Columbia-MO-65203/58699790_zpid/
5905 N Kent Dr,Columbia,MO,65202,89000,1674.0,3.0,1.5,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/5905-N-Kent-Dr-Columbia-MO-65202/58693026_zpid/
7005 N Moberly Dr,Columbia,MO,65202,97000,1488.0,3.0,1.5,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/7005-N-Moberly-Dr-Columbia-MO-65202/58691307_zpid/
116 Pinewood Dr,Columbia,MO,65203,107000,978.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/116-Pinewood-Dr-Columbia-MO-65203/58700688_zpid/
1504 Park De Ville Pl,Columbia,MO,65203,82500,1025.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1504-Park-De-Ville-Pl-Columbia-MO-65203/58698014_zpid/
1201 Old 63 S APT 504,Columbia,MO,65201,121000,1407.0,3.0,2.5,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/1201-Old-63-S-APT-504-Columbia-MO-65201/2092995569_zpid/
2801 W Broadway APT L2,Columbia,MO,65203,92000,1184.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2801-W-Broadway-APT-L2-Columbia-MO-65203/58697237_zpid/
5009 Geetha Dr,Columbia,MO,65202,187498,2125.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5009-Geetha-Dr-Columbia-MO-65202/70887161_zpid/
2401 Norbury Dr,Columbia,MO,65202,149900,1490.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2401-Norbury-Dr-Columbia-MO-65202/70890823_zpid/
903 Broadhead St,Columbia,MO,65203,142000,1108.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/903-Broadhead-St-Columbia-MO-65203/58700786_zpid/
3705 N Oakland Gravel Rd,Columbia,MO,65202,125000,1770.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3705-N-Oakland-Gravel-Rd-Columbia-MO-65202/89319190_zpid/
802 S Fairview Rd APT D13,Columbia,MO,65203,82500,928.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/802-S-Fairview-Rd-APT-D13-Columbia-MO-65203/58705750_zpid/
109 W Craig St,Columbia,MO,65202,139900,2038.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/109-W-Craig-St-Columbia-MO-65202/58698488_zpid/
2455 N Lakeland Dr,Columbia,MO,65202,189900,2366.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2455-N-Lakeland-Dr-Columbia-MO-65202/58716578_zpid/
1623 Timber Creek Dr,Columbia,MO,65202,89900,1260.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1623-Timber-Creek-Dr-Columbia-MO-65202/70890740_zpid/
107 Aldeah Ave,Columbia,MO,65203,170000,1024.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/107-Aldeah-Ave-Columbia-MO-65203/58701207_zpid/
